Type,SKU,Name,Published,Short description,Description,In stock?,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
variation,MEP-ECON-3L6,,1,,,1,50,4.8,19,19,19,43.00,,,,tinta-economica-mep-color,Volume,"3,6L",,
variation,MEP-ECON-18L,,1,,,1,20,22.5,30,30,34,178.00,,,,tinta-economica-mep-color,Volume,18L,,
variable,tinta-pisos-quadras-mep-color,"Tinta Pisos e Quadras MEP COLOR",1,,"<p>Tinta acrílica de alta resistência para pisos, calçadas e quadras esportivas. Formulada para suportar tráfego intenso. Antiderrapante e fácil de limpar.</p><ul><li>Calçadas, quadras esportivas, pisos e cimentados</li><li>Rendimento: até 5,6 m²/L por demão</li><li>Alta resistência à abrasão e tráfego</li><li>Antiderrapante</li></ul>",1,,,,,,,MEP COLOR,"tinta piso, tinta quadra, tinta calcada, mep color, piso cimentado",,,Volume,"3,6L | 18L",1,0
variation,MEP-PISOS-3L6,,1,,,1,30,4,19,19,19,65.00,,,,tinta-pisos-quadras-mep-color,Volume,"3,6L",,
variation,MEP-PISOS-18L,,1,,,1,10,23.5,30,30,34,268.00,,,,tinta-pisos-quadras-mep-color,Volume,18L,,
variable,esmalte-base-agua-mep-color,"Esmalte Acrílico Base Água MEP COLOR",1,,"<p>Esmalte acrílico base água para madeiras, metais, portas e esquadrias. Sem cheiro forte, secagem rápida, limpeza dos pincéis com água. Disponível em 0,9L e 3,6L.</p><ul><li>Madeiras, metais, portas, janelas e esquadrias</li><li>Rendimento: até 8,3 m²/L por demão</li><li>Base água: sem cheiro, secagem rápida</li><li>Interior e exterior</li></ul>",1,,,,,,,MEP COLOR,"esmalte base agua, esmalte acrilico, mep color, madeira, metal, porta, janela",,,Volume,"0,9L | 3,6L",1,0
variation,MEP-ESMALTE-0L9,,1,,,1,50,0.92,12,12,13,56.00,,,,esmalte-base-agua-mep-color,Volume,"0,9L",,
variation,MEP-ESMALTE-3L6,,1,,,1,30,4,19,19,19,156.00,,,,esmalte-base-agua-mep-color,Volume,"3,6L",,
variable,fundo-preparador-mep-color,"Fundo Preparador MEP COLOR",1,,"<p>Primer acrílico base água para preparar paredes antes da pintura. Melhora a aderência da tinta, uniformiza a absorção e reduz o consumo de tinta de acabamento. Indicado para alvenaria, reboco, concreto, gesso e fibrocimento.</p><ul><li>Alvenaria, reboco, concreto, gesso e fibrocimento</li><li>Rendimento: 8 a 15 m²/L por demão</li><li>Uma demão geralmente suficiente</li><li>Não substitui impermeabilizante</li></ul>",1,,,,,,,MEP COLOR,"fundo preparador, primer, selador, mep color, preparacao parede",,,Volume,"3,6L | 18L",1,0
variation,MEP-FUNDO-3L6,,1,,,1,30,3.2,19,19,19,89.00,,,,fundo-preparador-mep-color,Volume,"3,6L",,
variation,MEP-FUNDO-18L,,1,,,1,10,17,30,30,34,223.00,,,,fundo-preparador-mep-color,Volume,18L,,
variable,tinta-emborrachada-mep-color,"Tinta Emborrachada MEP COLOR",1,,"<p>Impermeabilizante acrílico elástico para fachadas, muros e paredes externas. Forma película flexível que acompanha microfissuras e protege contra infiltração. Alta resistência a UV, intempéries e salinidade — ideal para o litoral catarinense.</p><ul><li>Fachadas, muros e paredes externas</li><li>Rendimento: 5 a 8 m²/L por demão</li><li>Sistema: 2 a 3 demãos</li><li>Veda microfissuras de até 0,3 mm</li><li>Alta resistência a UV e salinidade</li><li>Sistema tintométrico disponível</li></ul>",1,,,,,,,MEP COLOR,"tinta emborrachada, impermeabilizante, mep color, fachada, muro",,,Volume,"3,6L | 18L",1,0
variation,MEP-EMBORR-3L6,,1,,,1,30,4.5,19,19,19,120.00,,,,tinta-emborrachada-mep-color,Volume,"3,6L",,
variation,MEP-EMBORR-18L,,1,,,1,10,21.5,30,30,34,610.00,,,,tinta-emborrachada-mep-color,Volume,18L,,
